"","no","date","tank","block","trt","order","sync","species","mass_mg","doy","timetoemerge"
"1",1,2019-05-07,3,1,"early_low","early","low","hyla",148.9,127,22
"2",2,2019-05-07,3,1,"early_low","early","low","hyla",143.1,127,22
"3",3,2019-05-07,3,1,"early_low","early","low","hyla",NA,127,22
"4",4,2019-05-07,5,1,"same_med","same","med","hyla",155.7,127,22
"5",5,2019-05-07,12,2,"same_low","same","low","hyla",142.2,127,22
"6",6,2019-05-07,20,2,"cont_med","cont","med","hyla",186.8,127,22
"7",7,2019-05-07,25,3,"same_low","same","low","hyla",158.1,127,22
"8",8,2019-05-07,25,3,"same_low","same","low","hyla",183.5,127,22
"9",9,2019-05-07,29,3,"early_low","early","low","hyla",208.4,127,22
"10",10,2019-05-07,29,3,"early_low","early","low","hyla",199.3,127,22
"11",11,2019-05-07,29,3,"early_low","early","low","hyla",252.2,127,22
"12",12,2019-05-07,29,3,"early_low","early","low","hyla",234.4,127,22
"13",13,2019-05-07,29,3,"early_low","early","low","hyla",215.7,127,22
"14",14,2019-05-07,30,3,"cont_low","cont","low","hyla",309,127,22
"15",15,2019-05-07,32,4,"same_low","same","low","hyla",235.2,127,22
"16",16,2019-05-07,32,4,"same_low","same","low","hyla",183.1,127,22
"17",17,2019-05-07,32,4,"same_low","same","low","hyla",279.2,127,22
"18",18,2019-05-07,33,4,"early_low","early","low","hyla",184.4,127,22
"19",19,2019-05-07,33,4,"early_low","early","low","hyla",179.5,127,22
"20",20,2019-05-07,33,4,"early_low","early","low","hyla",141.6,127,22
"21",21,2019-05-07,33,4,"early_low","early","low","hyla",195.7,127,22
"22",22,2019-05-07,38,4,"early_med","early","med","hyla",188.7,127,22
"23",23,2019-05-07,42,5,"early_low","early","low","hyla",217.6,127,22
"24",24,2019-05-07,42,5,"early_low","early","low","hyla",257.4,127,22
"25",25,2019-05-07,42,5,"early_low","early","low","hyla",217.1,127,22
"26",26,2019-05-07,42,5,"early_low","early","low","hyla",191.2,127,22
"27",27,2019-05-07,42,5,"early_low","early","low","hyla",199.6,127,22
"28",28,2019-05-07,47,5,"same_low","same","low","hyla",157.6,127,22
"29",29,2019-05-07,55,6,"early_low","early","low","hyla",198.5,127,22
"30",30,2019-05-07,55,6,"early_low","early","low","hyla",203.6,127,22
"31",31,2019-05-07,55,6,"early_low","early","low","hyla",180.7,127,22
"32",32,2019-05-07,55,6,"early_low","early","low","hyla",205.8,127,22
"33",33,2019-05-07,55,6,"early_low","early","low","hyla",179.1,127,22
"34",34,2019-05-07,57,6,"same_low","same","low","hyla",197.5,127,22
"35",35,2019-05-08,2,1,"early_med","early","med","hyla",143.8,128,23
"36",36,2019-05-08,3,1,"early_low","early","low","hyla",162.7,128,23
"37",37,2019-05-08,6,1,"same_low","same","low","hyla",170.5,128,23
"38",38,2019-05-08,23,3,"late_low","late","low","hyla",143.1,128,23
"39",39,2019-05-08,24,3,"early_med","early","med","hyla",161,128,23
"40",40,2019-05-08,25,3,"same_low","same","low","hyla",165.4,128,23
"41",41,2019-05-08,25,3,"same_low","same","low","hyla",190.3,128,23
"42",42,2019-05-08,25,3,"same_low","same","low","hyla",162.3,128,23
"43",43,2019-05-08,25,3,"same_low","same","low","hyla",119.5,128,23
"44",44,2019-05-08,20,2,"cont_med","cont","med","hyla",269.2,128,23
"45",45,2019-05-08,20,2,"cont_med","cont","med","hyla",209.6,128,23
"46",46,2019-05-08,29,3,"early_low","early","low","hyla",259.7,128,23
"47",47,2019-05-08,31,4,"late_low","late","low","hyla",120.3,128,23
"48",48,2019-05-08,32,4,"same_low","same","low","hyla",135.3,128,23
"49",49,2019-05-08,33,4,"early_low","early","low","hyla",204.1,128,23
"50",50,2019-05-08,35,4,"same_med","same","med","hyla",133.3,128,23
"51",51,2019-05-08,38,4,"early_med","early","med","hyla",172,128,23
"52",52,2019-05-08,42,5,"early_low","early","low","hyla",163.2,128,23
"53",53,2019-05-08,47,5,"same_low","same","low","hyla",183.1,128,23
"54",54,2019-05-08,53,6,"early_med","early","med","hyla",156.4,128,23
"55",55,2019-05-08,53,6,"early_med","early","med","hyla",148.3,128,23
"56",56,2019-05-08,55,6,"early_low","early","low","hyla",135.5,128,23
"57",57,2019-05-08,55,6,"early_low","early","low","hyla",157.7,128,23
"58",58,2019-05-08,55,6,"early_low","early","low","hyla",166.2,128,23
"59",59,2019-05-08,57,6,"same_low","same","low","hyla",158.7,128,23
"60",60,2019-05-08,57,6,"same_low","same","low","hyla",153.8,128,23
"61",61,2019-05-08,60,6,"cont_low","cont","low","hyla",272.5,128,23
