"","date","tank","block","trt","order","sync","ones","mass_mg","doy","timetoemerge","cumulative_metas","cumulative_biom"
"1",2019-05-07,3,1,"early_low","early","low",1,148.9,127,22,1,148.9
"2",2019-05-07,3,1,"early_low","early","low",1,143.1,127,22,2,292
"3",2019-05-07,3,1,"early_low","early","low",1,NA,127,22,3,483.984550345888
"4",2019-05-07,5,1,"same_med","same","med",1,155.7,127,22,1,155.7
"5",2019-05-07,12,2,"same_low","same","low",1,142.2,127,22,1,142.2
"6",2019-05-07,20,2,"cont_med","cont","med",1,186.8,127,22,1,186.8
"7",2019-05-07,25,3,"same_low","same","low",1,158.1,127,22,1,158.1
"8",2019-05-07,25,3,"same_low","same","low",1,183.5,127,22,2,341.6
"9",2019-05-07,29,3,"early_low","early","low",1,208.4,127,22,1,208.4
"10",2019-05-07,29,3,"early_low","early","low",1,199.3,127,22,2,407.7
"11",2019-05-07,29,3,"early_low","early","low",1,252.2,127,22,3,659.9
"12",2019-05-07,29,3,"early_low","early","low",1,234.4,127,22,4,894.3
"13",2019-05-07,29,3,"early_low","early","low",1,215.7,127,22,5,1110
"14",2019-05-07,30,3,"cont_low","cont","low",1,309,127,22,1,309
"15",2019-05-07,32,4,"same_low","same","low",1,235.2,127,22,1,235.2
"16",2019-05-07,32,4,"same_low","same","low",1,183.1,127,22,2,418.3
"17",2019-05-07,32,4,"same_low","same","low",1,279.2,127,22,3,697.5
"18",2019-05-07,33,4,"early_low","early","low",1,184.4,127,22,1,184.4
"19",2019-05-07,33,4,"early_low","early","low",1,179.5,127,22,2,363.9
"20",2019-05-07,33,4,"early_low","early","low",1,141.6,127,22,3,505.5
"21",2019-05-07,33,4,"early_low","early","low",1,195.7,127,22,4,701.2
"22",2019-05-07,38,4,"early_med","early","med",1,188.7,127,22,1,188.7
"23",2019-05-07,42,5,"early_low","early","low",1,217.6,127,22,1,217.6
"24",2019-05-07,42,5,"early_low","early","low",1,257.4,127,22,2,475
