no,date,tank,block,trt,order,sync,species,mass_mg
1,7-May,3,1,early_low,early,low,hyla,148.9
2,7-May,3,1,early_low,early,low,hyla,143.1
3,7-May,3,1,early_low,early,low,hyla,NA
4,7-May,5,1,same_med,same,med,hyla,155.7
5,7-May,12,2,same_low,same,low,hyla,142.2
6,7-May,20,2,cont_med,cont,med,hyla,186.8
7,7-May,25,3,same_low,same,low,hyla,158.1
8,7-May,25,3,same_low,same,low,hyla,183.5
9,7-May,29,3,early_low,early,low,hyla,208.4
10,7-May,29,3,early_low,early,low,hyla,199.3
11,7-May,29,3,early_low,early,low,hyla,252.2
12,7-May,29,3,early_low,early,low,hyla,234.4
13,7-May,29,3,early_low,early,low,hyla,215.7
14,7-May,30,3,cont_low,cont,low,hyla,309
15,7-May,32,4,same_low,same,low,hyla,235.2
16,7-May,32,4,same_low,same,low,hyla,183.1
17,7-May,32,4,same_low,same,low,hyla,279.2
18,7-May,33,4,early_low,early,low,hyla,184.4
19,7-May,33,4,early_low,early,low,hyla,179.5
20,7-May,33,4,early_low,early,low,hyla,141.6
21,7-May,33,4,early_low,early,low,hyla,195.7
22,7-May,38,4,early_med,early,med,hyla,188.7
23,7-May,42,5,early_low,early,low,hyla,217.6
24,7-May,42,5,early_low,early,low,hyla,257.4
25,7-May,42,5,early_low,early,low,hyla,217.1
26,7-May,42,5,early_low,early,low,hyla,191.2
27,7-May,42,5,early_low,early,low,hyla,199.6
28,7-May,47,5,same_low,same,low,hyla,157.6
29,7-May,55,6,early_low,early,low,hyla,198.5
30,7-May,55,6,early_low,early,low,hyla,203.6
31,7-May,55,6,early_low,early,low,hyla,180.7
32,7-May,55,6,early_low,early,low,hyla,205.8
33,7-May,55,6,early_low,early,low,hyla,179.1
34,7-May,57,6,same_low,same,low,hyla,197.5
35,8-May,2,1,early_med,early,med,hyla,143.8
36,8-May,3,1,early_low,early,low,hyla,162.7
37,8-May,6,1,same_low,same,low,hyla,170.5
38,8-May,23,3,late_low,late,low,hyla,143.1
39,8-May,24,3,early_med,early,med,hyla,161
40,8-May,25,3,same_low,same,low,hyla,165.4
41,8-May,25,3,same_low,same,low,hyla,190.3
42,8-May,25,3,same_low,same,low,hyla,162.3
43,8-May,25,3,same_low,same,low,hyla,119.5
44,8-May,20,2,cont_med,cont,med,hyla,269.2
45,8-May,20,2,cont_med,cont,med,hyla,209.6
46,8-May,29,3,early_low,early,low,hyla,259.7
47,8-May,31,4,late_low,late,low,hyla,120.3
48,8-May,32,4,same_low,same,low,hyla,135.3
49,8-May,33,4,early_low,early,low,hyla,204.1
50,8-May,35,4,same_med,same,med,hyla,133.3
51,8-May,38,4,early_med,early,med,hyla,172
52,8-May,42,5,early_low,early,low,hyla,163.2
53,8-May,47,5,same_low,same,low,hyla,183.1
54,8-May,53,6,early_med,early,med,hyla,156.4
55,8-May,53,6,early_med,early,med,hyla,148.3
56,8-May,55,6,early_low,early,low,hyla,135.5
57,8-May,55,6,early_low,early,low,hyla,157.7
58,8-May,55,6,early_low,early,low,hyla,166.2
59,8-May,57,6,same_low,same,low,hyla,158.7
60,8-May,57,6,same_low,same,low,hyla,153.8
61,8-May,60,6,cont_low,cont,low,hyla,272.5
62,8-May,60,6,cont_low,cont,low,hyla,234.1
63,9-May,2,1,early_med,early,med,hyla,132.5
64,9-May,2,1,early_med,early,med,hyla,139.8
65,9-May,5,1,same_med,same,med,hyla,146.5
66,9-May,5,1,same_med,same,med,hyla,122.3
67,9-May,5,1,same_med,same,med,hyla,151.8
68,9-May,6,1,same_low,same,low,hyla,141.2
69,9-May,11,2,early_med,early,med,hyla,151.3
70,9-May,11,2,early_med,early,med,hyla,133.4
71,9-May,20,2,cont_med,cont,med,hyla,288.1
72,9-May,20,2,cont_med,cont,med,hyla,217.9
73,9-May,21,3,same_med,same,med,hyla,110.8
74,9-May,24,3,early_med,early,med,hyla,151.2
75,9-May,24,3,early_med,early,med,hyla,136.4
76,9-May,24,3,early_med,early,med,hyla,176
77,9-May,29,3,early_low,early,low,hyla,196.6
78,9-May,29,3,early_low,early,low,hyla,208
79,9-May,30,3,cont_low,cont,low,hyla,157.7
80,9-May,30,3,cont_low,cont,low,hyla,214.6
81,9-May,30,3,cont_low,cont,low,hyla,198.8
82,9-May,30,3,cont_low,cont,low,hyla,261.8
83,9-May,32,4,same_low,same,low,hyla,134.3
84,9-May,33,4,early_low,early,low,hyla,203.3
85,9-May,35,4,same_med,same,med,hyla,127.9
86,9-May,35,4,same_med,same,med,hyla,118.5
87,9-May,38,4,early_med,early,med,hyla,159.3
88,9-May,38,4,early_med,early,med,hyla,138.6
89,9-May,42,5,early_low,early,low,hyla,176.8
90,9-May,42,5,early_low,early,low,hyla,160
91,9-May,42,5,early_low,early,low,hyla,169.7
92,9-May,47,5,same_low,same,low,hyla,178.7
93,9-May,47,5,same_low,same,low,hyla,175
94,9-May,48,5,early_med,early,med,hyla,187.1
95,9-May,48,5,early_med,early,med,hyla,239.2
96,9-May,48,5,early_med,early,med,hyla,227.7
97,9-May,48,5,early_med,early,med,hyla,204.3
98,9-May,48,5,early_med,early,med,hyla,213.6
99,9-May,48,5,early_med,early,med,hyla,269.9
100,9-May,48,5,early_med,early,med,hyla,268.7
101,9-May,50,5,cont_med,cont,med,hyla,168.1
102,9-May,50,5,cont_med,cont,med,hyla,163.8
103,9-May,50,5,cont_med,cont,med,hyla,174.8
104,9-May,53,6,early_med,early,med,hyla,NA
105,9-May,53,6,early_med,early,med,hyla,169.6
106,9-May,53,6,early_med,early,med,hyla,138.2
107,9-May,53,6,early_med,early,med,hyla,140.8
108,9-May,53,6,early_med,early,med,hyla,150.8
109,9-May,53,6,early_med,early,med,hyla,137.8
110,9-May,55,6,early_low,early,low,hyla,160.2
111,9-May,58,6,same_med,same,med,hyla,128.2
112,9-May,60,6,cont_low,cont,low,hyla,337.2
113,9-May,60,6,cont_low,cont,low,hyla,257
114,10-May,2,1,early_med,early,med,hyla,161
115,10-May,2,1,early_med,early,med,hyla,150.1
116,10-May,2,1,early_med,early,med,hyla,159.2
117,10-May,3,1,early_low,early,low,hyla,173.8
118,10-May,6,1,same_low,same,low,hyla,110.4
119,10-May,11,2,early_med,early,med,hyla,152.5
120,10-May,20,2,cont_med,cont,med,hyla,132.7
121,10-May,21,3,same_med,same,med,hyla,130.3
122,10-May,24,3,early_med,early,med,hyla,149.5
123,10-May,24,3,early_med,early,med,hyla,145
124,10-May,24,3,early_med,early,med,hyla,172.4
125,10-May,24,3,early_med,early,med,hyla,139.1
126,10-May,24,3,early_med,early,med,hyla,145.8
127,10-May,25,3,same_low,same,low,hyla,135.4
128,10-May,30,3,cont_low,cont,low,hyla,209
129,10-May,30,3,cont_low,cont,low,hyla,188.2
130,10-May,32,4,same_low,same,low,hyla,141
131,10-May,32,4,same_low,same,low,hyla,152.2
132,10-May,33,4,early_low,early,low,hyla,134.6
133,10-May,35,4,same_med,same,med,hyla,129.3
134,10-May,35,4,same_med,same,med,hyla,146.9
135,10-May,37,4,early_high,early,high,hyla,146.5
136,10-May,38,4,early_med,early,med,hyla,165.3
137,10-May,38,4,early_med,early,med,hyla,141.3
138,10-May,40,4,cont_high,cont,high,hyla,141.4
139,10-May,40,4,cont_high,cont,high,hyla,135.2
140,10-May,42,5,early_low,early,low,hyla,158.8
141,10-May,43,5,same_med,same,med,hyla,150.3
142,10-May,43,5,same_med,same,med,hyla,144.9
143,10-May,43,5,same_med,same,med,hyla,130.9
144,10-May,43,5,same_med,same,med,hyla,114.1
145,10-May,43,5,same_med,same,med,hyla,118
146,10-May,45,5,late_low,late,low,hyla,112.9
147,10-May,45,5,late_low,late,low,hyla,144
148,10-May,46,5,early_high,early,high,hyla,169.1
149,10-May,46,5,early_high,early,high,hyla,169.9
150,10-May,46,5,early_high,early,high,hyla,151
151,10-May,47,5,same_low,same,low,hyla,154.6
152,10-May,48,5,early_med,early,med,hyla,203.6
153,10-May,50,5,cont_med,cont,med,hyla,169.7
154,10-May,50,5,cont_med,cont,med,hyla,146.4
155,10-May,50,5,cont_med,cont,med,hyla,189.5
156,10-May,50,5,cont_med,cont,med,hyla,121.3
157,10-May,52,6,early_high,early,high,hyla,119.1
158,10-May,53,6,early_med,early,med,hyla,125.1
159,10-May,55,6,early_low,early,low,hyla,152.7
160,10-May,57,6,same_low,same,low,hyla,153.2
161,10-May,58,6,same_med,same,med,hyla,131.7
162,10-May,59,6,late_low,late,low,hyla,152.1
163,10-May,59,6,late_low,late,low,hyla,154.2
164,10-May,60,6,cont_low,cont,low,hyla,273.7
165,10-May,60,6,cont_low,cont,low,hyla,300.2
166,10-May,60,6,cont_low,cont,low,hyla,276.4
167,10-May,60,6,cont_low,cont,low,hyla,262
169,11-May,2,1,early_med,early,med,hyla,162.6
170,11-May,3,1,early_low,early,low,hyla,133.9
171,11-May,5,1,same_med,same,med,hyla,139.4
172,11-May,12,2,same_low,same,low,hyla,118
173,11-May,21,3,same_med,same,med,hyla,133.1
174,11-May,24,3,early_med,early,med,hyla,152
175,11-May,24,3,early_med,early,med,hyla,135
176,11-May,25,3,same_low,same,low,hyla,155.3
177,11-May,29,3,early_low,early,low,hyla,197.9
178,11-May,29,3,early_low,early,low,hyla,214.6
179,11-May,30,3,cont_low,cont,low,hyla,207.9
180,11-May,30,3,cont_low,cont,low,hyla,186
181,11-May,32,4,same_low,same,low,hyla,127.7
182,11-May,33,4,early_low,early,low,hyla,160.6
183,11-May,33,4,early_low,early,low,hyla,168.9
184,11-May,35,4,same_med,same,med,hyla,NA
185,11-May,35,4,same_med,same,med,hyla,139.6
186,11-May,38,4,early_med,early,med,hyla,163.9
187,11-May,40,4,cont_high,cont,high,hyla,NA
188,11-May,42,5,early_low,early,low,hyla,154.2
189,11-May,43,5,same_med,same,med,hyla,132.7
190,11-May,43,5,same_med,same,med,hyla,126.9
191,11-May,45,5,late_low,late,low,hyla,129.6
192,11-May,47,5,same_low,same,low,hyla,154.8
193,11-May,47,5,same_low,same,low,hyla,142.1
194,11-May,48,5,early_med,early,med,hyla,181.8
195,11-May,48,5,early_med,early,med,hyla,180.1
196,11-May,48,5,early_med,early,med,hyla,182.4
197,11-May,50,5,cont_med,cont,med,hyla,121
198,11-May,52,6,early_high,early,high,hyla,NA
199,11-May,57,6,same_low,same,low,hyla,154.6
200,11-May,57,6,same_low,same,low,hyla,140.1
201,11-May,58,6,same_med,same,med,hyla,171.5
202,11-May,58,6,same_med,same,med,hyla,136.2
203,11-May,60,6,cont_low,cont,low,hyla,209.8
204,12-May,2,1,early_med,early,med,hyla ,127.5
205,12-May,3,1,early_low,early,low,hyla,162.1
206,12-May,11,2,early_med,early,med,hyla ,116.6
207,12-May,20,2,cont_med,cont,med,hyla,182.3
208,12-May,20,2,cont_med,cont,med,hyla ,173.9
209,12-May,29,3,early_low,early,low,hyla,203.2
210,12-May,30,3,cont_low,cont,low,hyla ,210
211,12-May,30,3,cont_low,cont,low,hyla,222.2
212,12-May,30,3,cont_low,cont,low,hyla ,240.3
213,12-May,30,3,cont_low,cont,low,hyla,233
214,12-May,38,4,early_med,early,med,hyla ,139.7
215,12-May,38,4,early_med,early,med,hyla,158.6
216,12-May,40,4,cont_high,cont,high,hyla ,152.2
217,12-May,42,5,early_low,early,low,hyla,188.5
218,12-May,46,5,early_high,early,high,hyla ,149.8
219,12-May,58,6,same_med,same,med,hyla,142.5
220,12-May,59,6,late_low,late,low,hyla ,140.2
221,12-May,60,6,cont_low,cont,low,hyla,231.2
222,12-May,60,6,cont_low,cont,low,hyla ,216.9
223,12-May,60,6,cont_low,cont,low,hyla,222.2
224,13-May,2,1,early_med,early,med,hyla ,NA
225,13-May,6,1,same_low,same,low,hyla,119
226,13-May,11,2,early_med,early,med,hyla,108
227,13-May,12,2,same_low,same,low,hyla,130.3
228,13-May,20,2,cont_med,cont,med,hyla,181.6
229,13-May,23,3,late_low,late,low,hyla,131.7
230,13-May,25,3,same_low,same,low,hyla,113.2
231,13-May,29,3,early_low,early,low,hyla,184.5
232,13-May,35,4,same_med,same,med,hyla,135.1
233,13-May,38,4,early_med,early,med,hyla,111.7
234,13-May,38,4,early_med,early,med,hyla,136.9
235,13-May,38,4,early_med,early,med,hyla,134
236,13-May,38,4,early_med,early,med,hyla,134.2
