tank,measurement,value
4,hw,0.928
4,svl,1.288
4,hw,0.935
4,svl,1.385
4,hw,0.784
4,svl,1.323
4,hw,0.913
4,svl,1.317
4,hw,1.109
4,svl,1.529
5,hw,0.899
5,svl,1.635
5,hw,1.464
5,svl,2.164
5,hw,0.849
5,svl,1.602
5,hw,0.841
5,svl,1.378
5,hw,1.376
5,svl,2.11
5,hw,1.049
5,svl,1.854
5,hw,0.897
5,svl,1.431
5,hw,1.16
5,svl,1.939
5,hw,1.077
5,svl,1.823
6,hw,1.237
6,svl,1.907
6,hw,1.007
6,svl,1.593
6,hw,1.183
6,svl,1.826
6,hw,1.113
6,svl,1.806
6,hw,1.036
6,svl,1.632
6,hw,0.786
6,svl,1.299
6,hw,1.051
6,svl,1.687
6,hw,0.956
6,svl,1.59
6,hw,1.229
6,svl,2.254
6,hw,1.324
6,svl,2.075
6,hw,1.073
6,svl,1.784
6,hw,1.182
6,svl,1.947
8,hw,1.328
8,svl,2.159
8,hw,1.279
8,svl,2.082
8,hw,1.069
8,svl,1.74
8,hw,1.316
8,svl,2.262
12,hw,1.06
12,svl,1.735
12,hw,1.103
12,svl,1.92
12,hw,0.901
12,svl,1.679
12,hw,0.997
12,svl,1.587
12,hw,0.769
12,svl,1.165
12,hw,0.752
12,svl,1.147
12,hw,1.212
12,svl,1.843
12,hw,1.274
12,svl,2.28
12,hw,0.714
12,svl,1.195
12,hw,1.054
12,svl,1.61
12,hw,0.978
12,svl,1.47
12,hw,1.051
12,svl,1.71
12,hw,1.287
12,svl,2.174
12,hw,0.786
12,svl,1.233
12,hw,0.722
12,svl,1.167
14,hw,0.758
14,svl,1.132
14,hw,0.834
14,svl,1.423
14,hw,1.058
14,svl,1.799
14,hw,0.926
14,svl,1.458
14,hw,0.843
14,svl,1.404
14,hw,0.99
14,svl,1.596
14,hw,1.116
14,svl,1.922
14,hw,0.666
14,svl,1.103
14,hw,0.811
14,svl,1.347
14,hw,0.789
14,svl,1.34
14,hw,0.901
14,svl,1.492
14,hw,0.925
14,svl,1.373
14,hw,1.16
14,svl,1.896
14,hw,0.789
14,svl,1.376
14,hw,0.787
14,svl,1.336
14,hw,0.804
14,svl,1.236
14,hw,0.71
14,svl,1.179
14,hw,0.763
14,svl,1.252
14,hw,0.839
14,svl,1.321
14,hw,0.663
14,svl,1.138
15,hw,0.906
15,svl,1.433
15,hw,1.054
15,svl,1.602
15,hw,0.952
15,svl,1.612
15,hw,0.829
