"","tank","block","trt","order","sync","surv","biom","mass","emer","emsd","rana"
"1",1,1,"early_high","early","high",0.666666666666667,5906.65365103766,197.433333333333,85.6666666666667,26.7586058774695,0
"2",2,1,"early_med","early","med",0.822222222222222,6480.32275172944,172.5125,67.0810810810811,29.7268849307775,0
"3",3,1,"early_low","early","low",0.644444444444444,5636.58455034589,194.45,44.6206896551724,15.1478753651731,0
"4",4,1,"same_high","same","high",0.244444444444444,2224.86910069178,204.544444444444,120.272727272727,22.7995215260799,0.166666666666667
"5",5,1,"same_med","same","med",0.688888888888889,5685.68455034589,183.123333333333,83.8387096774194,32.8928530982984,0.3
"6",6,1,"same_low","same","low",0.422222222222222,3223.7,169.668421052632,68.4736842105263,26.160547949266,0.4
"7",7,1,"late_high","late","high",0.577777777777778,4558.1,175.311538461538,102.423076923077,18.0602836675908,0
"8",8,1,"late_med","late","med",0.444444444444444,4241.46910069178,214.305555555556,120.2,17.7426040929735,0.133333333333333
"9",9,1,"late_low","late","low",0.333333333333333,2900.8,193.386666666667,92.9333333333333,25.1721690610502,0
"10",10,1,"cont_high","cont","high",0.466666666666667,3848.68455034589,182.835,80.9523809523809,19.0643022176952,0
"11",11,2,"early_med","early","med",0.8,7241.66910069178,201.697058823529,79.3888888888889,28.3853863586557,0
"12",12,2,"same_low","same","low",0.422222222222222,3531.2,185.852631578947,64.5789473684211,24.0423602776287,0.5
"13",13,2,"early_low","early","low",0.511111111111111,4983.08455034589,217.777272727273,80.8695652173913,16.6195513226443,0
"14",14,2,"same_med","same","med",0.511111111111111,4327.28455034589,187.968181818182,92.9130434782609,20.8390216213331,0.666666666666667
"15",15,2,"early_high","early","high",0.288888888888889,2459.45365103766,188.35,71.6153846153846,41.8121562497847,0.166666666666667
"16",16,2,"late_med","late","med",0.2,1613.56910069178,175.657142857143,105.333333333333,23.9582971014219,0.1
"17",17,2,"same_high","same","high",0.511111111111111,4338.16910069178,188.295238095238,91.1739130434783,24.4756877030565,0.566666666666667
"18",18,2,"late_high","late","high",0.311111111111111,2528.56910069178,178.716666666667,97,17.3914214042883,0.4
"19",19,2,"late_low","late","low",0.6,5898.05365103766,221.754166666667,101.037037037037,13.9324786062624,0
"20",20,2,"cont_med","cont","med",0.711111111111111,6454.35365103766,202.703448275862,44.375,17.8176244750944,0
"21",21,3,"same_med","same","med",0.488888888888889,3842.7,174.668181818182,58.5454545454545,35.9135566295452,0
"22",22,3,"same_high","same","high",0.0666666666666667,416.2,138.733333333333,100.666666666667,59.8776530379518,0.1
"23",23,3,"late_low","late","low",0.222222222222222,1718.5,171.85,69.1,42.5531040779244,0
