"","tank","sync.x","block.x","trt.x","order.x","trt.y","order.y","sd","se","ci","cont","adj","biom_cont","emer_cont","emsd_cont","mass_cont","surv_cont","X","block.y","trt","order","sync.y","surv","biom","mass","emer","emsd","rana"
"1",1,"high",1,"early_high","early","cont_high","cont",41.9,6.2,12.4,177.2,0,NA,NA,NA,177.2,NA,1,1,"early_high","early","high",0.666666666666667,5906.65365103766,197.433333333333,85.6666666666667,26.7586058774695,0
"2",1,"high",1,"early_high","early","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,1,1,"early_high","early","high",0.666666666666667,5906.65365103766,197.433333333333,85.6666666666667,26.7586058774695,0
"3",1,"high",1,"early_high","early","cont_high","cont",5.6,4,50.2,15.1,0,NA,NA,15.1,NA,NA,1,1,"early_high","early","high",0.666666666666667,5906.65365103766,197.433333333333,85.6666666666667,26.7586058774695,0
"4",1,"high",1,"early_high","early","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,1,1,"early_high","early","high",0.666666666666667,5906.65365103766,197.433333333333,85.6666666666667,26.7586058774695,0
"5",1,"high",1,"early_high","early","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,1,1,"early_high","early","high",0.666666666666667,5906.65365103766,197.433333333333,85.6666666666667,26.7586058774695,0
"6",2,"med",1,"early_med","early","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,2,1,"early_med","early","med",0.822222222222222,6480.32275172944,172.5125,67.0810810810811,29.7268849307775,0
"7",2,"med",1,"early_med","early","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,2,1,"early_med","early","med",0.822222222222222,6480.32275172944,172.5125,67.0810810810811,29.7268849307775,0
"8",2,"med",1,"early_med","early","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,2,1,"early_med","early","med",0.822222222222222,6480.32275172944,172.5125,67.0810810810811,29.7268849307775,0
"9",2,"med",1,"early_med","early","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,2,1,"early_med","early","med",0.822222222222222,6480.32275172944,172.5125,67.0810810810811,29.7268849307775,0
"10",2,"med",1,"early_med","early","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,2,1,"early_med","early","med",0.822222222222222,6480.32275172944,172.5125,67.0810810810811,29.7268849307775,0
"11",3,"low",1,"early_low","early","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,3,1,"early_low","early","low",0.644444444444444,5636.58455034589,194.45,44.6206896551724,15.1478753651731,0
"12",3,"low",1,"early_low","early","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,3,1,"early_low","early","low",0.644444444444444,5636.58455034589,194.45,44.6206896551724,15.1478753651731,0
"13",3,"low",1,"early_low","early","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,3,1,"early_low","early","low",0.644444444444444,5636.58455034589,194.45,44.6206896551724,15.1478753651731,0
"14",3,"low",1,"early_low","early","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,3,1,"early_low","early","low",0.644444444444444,5636.58455034589,194.45,44.6206896551724,15.1478753651731,0
"15",3,"low",1,"early_low","early","cont_low","cont",775.1,548.1,6964.2,6127.3,0,6127.3,NA,NA,NA,NA,3,1,"early_low","early","low",0.644444444444444,5636.58455034589,194.45,44.6206896551724,15.1478753651731,0
"16",4,"high",1,"same_high","same","cont_high","cont",5.6,4,50.2,15.1,0,NA,NA,15.1,NA,NA,4,1,"same_high","same","high",0.244444444444444,2224.86910069178,204.544444444444,120.272727272727,22.7995215260799,0.166666666666667
"17",4,"high",1,"same_high","same","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,4,1,"same_high","same","high",0.244444444444444,2224.86910069178,204.544444444444,120.272727272727,22.7995215260799,0.166666666666667
"18",4,"high",1,"same_high","same","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,4,1,"same_high","same","high",0.244444444444444,2224.86910069178,204.544444444444,120.272727272727,22.7995215260799,0.166666666666667
"19",4,"high",1,"same_high","same","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,4,1,"same_high","same","high",0.244444444444444,2224.86910069178,204.544444444444,120.272727272727,22.7995215260799,0.166666666666667
"20",4,"high",1,"same_high","same","cont_high","cont",41.9,6.2,12.4,177.2,0,NA,NA,NA,177.2,NA,4,1,"same_high","same","high",0.244444444444444,2224.86910069178,204.544444444444,120.272727272727,22.7995215260799,0.166666666666667
"21",5,"med",1,"same_med","same","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,5,1,"same_med","same","med",0.688888888888889,5685.68455034589,183.123333333333,83.8387096774194,32.8928530982984,0.3
"22",5,"med",1,"same_med","same","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,5,1,"same_med","same","med",0.688888888888889,5685.68455034589,183.123333333333,83.8387096774194,32.8928530982984,0.3
"23",5,"med",1,"same_med","same","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,5,1,"same_med","same","med",0.688888888888889,5685.68455034589,183.123333333333,83.8387096774194,32.8928530982984,0.3
"24",5,"med",1,"same_med","same","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,5,1,"same_med","same","med",0.688888888888889,5685.68455034589,183.123333333333,83.8387096774194,32.8928530982984,0.3
"25",5,"med",1,"same_med","same","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,5,1,"same_med","same","med",0.688888888888889,5685.68455034589,183.123333333333,83.8387096774194,32.8928530982984,0.3
"26",6,"low",1,"same_low","same","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,6,1,"same_low","same","low",0.422222222222222,3223.7,169.668421052632,68.4736842105263,26.160547949266,0.4
